id_venda,data,loja_id,categoria,produto,vendedor,cliente_id,idade_cliente,sexo,quantidade,valor_unitario,valor_total,forma_pagamento
25,2025-03-24,1,Vestuário,Camisa,Carlos,1014,37,F,2,87.5,175.0,Boleto
26,2025-03-29,5,Alimentos,Feijão,Pedro,1025,63,F,6,11.51,69.06,Pix
27,2025-02-09,1,Eletrônicos,Mouse,Mariana,1097,19,M,4,117.77,471.08,Cartão
28,2025-01-02,1,Vestuário,Camisa,Mariana,1008,45,F,8,94.28,754.24,Cartão
29,2025-03-06,2,Eletrônicos,Teclado,Carlos,1052,43,F,3,174.69,524.07,Dinheiro
30,2025-02-15,1,Eletrônicos,Mouse,Lucas,1012,64,F,4,124.28,497.12,Pix
31,2025-06-19,5,Eletrônicos,TV,Ana,1052,19,F,8,2763.67,22109.36,Dinheiro
32,2025-01-13,1,Eletrônicos,Mouse,Fernanda,1006,59,F,8,121.16,969.28,Boleto
33,2025-02-10,2,Alimentos,Macarrão,Pedro,1044,49,F,7,7.89,55.23,Boleto
34,2025-02-15,1,Eletrônicos,Teclado,Ana,1011,19,F,2,180.55,361.1,Boleto
35,2025-06-02,3,Eletrônicos,Mouse,Mariana,1045,62,F,7,122.3,856.1,Pix
36,2025-03-01,4,Alimentos,Macarrão,Lucas,1006,18,F,3,7.9,23.7,Pix
37,2025-05-03,5,Alimentos,Arroz,Carlos,1095,67,M,5,32.41,162.05,Boleto
38,2025-05-06,5,Alimentos,Macarrão,Ana,1068,23,F,3,7.67,23.01,Cartão
39,2025-04-15,2,Vestuário,Camisa,Lucas,1032,68,M,7,88.49,619.43,Boleto
40,2025-04-26,5,Vestuário,Camisa,Carlos,1026,68,F,5,89.31,446.55,Boleto
41,2025-06-14,3,Alimentos,Feijão,Lucas,1002,19,F,8,11.57,92.56,Pix
42,2025-03-03,4,Alimentos,Feijão,Pedro,1053,37,F,3,12.54,37.62,Boleto
43,2025-05-27,2,Vestuário,Tênis,João,1066,65,M,8,403.88,3231.04,Pix
44,2025-01-06,1,Alimentos,Café,Maria,1029,60,F,7,17.79,124.53,Dinheiro
45,2025-05-22,3,Vestuário,Calça,Fernanda,1045,44,F,8,187.83,1502.64,Pix
46,2025-05-19,1,Vestuário,Calça,Fernanda,1098,63,F,7,171.01,1197.07,Boleto
47,2025-05-07,5,Vestuário,Tênis,Fernanda,1038,18,M,3,440.22,1320.66,Boleto
48,2025-06-19,2,Eletrônicos,TV,Carlos,1007,20,M,7,2907.1,20349.7,Boleto
49,2025-06-22,2,Vestuário,Camisa,Fernanda,1096,33,F,6,90.81,544.86,Dinheiro
50,2025-02-10,3,Vestuário,Jaqueta,Mariana,1065,58,M,6,341.79,2050.74,Cartão
51,2025-04-30,2,Eletrônicos,Mouse,Lucas,1046,60,M,3,118.76,356.28,Cartão
52,2025-05-05,3,Alimentos,Feijão,Carlos,1075,39,M,5,11.74,58.7,Boleto
53,2025-03-14,5,Alimentos,Café,Lucas,1093,65,M,7,17.97,125.79,Boleto
54,2025-03-31,3,Alimentos,Feijão,Lucas,1016,55,M,6,12.11,72.66,Cartão
55,2025-02-21,2,Alimentos,Arroz,João,1072,63,F,2,31.89,63.78,Boleto
56,2025-03-27,4,Alimentos,Macarrão,Mariana,1059,66,F,2,7.92,15.84,Pix
57,2025-04-27,5,Alimentos,Feijão,Maria,1095,38,M,2,11.43,22.86,Pix
58,2025-03-30,4,Alimentos,Arroz,Maria,1038,18,F,2,30.69,61.38,Pix
59,2025-04-18,1,Vestuário,Calça,Fernanda,1098,34,F,1,183.69,183.69,Pix
60,2025-03-06,2,Eletrônicos,Teclado,Lucas,1005,53,F,8,182.02,1456.16,Pix
61,2025-01-01,2,Eletrônicos,Mouse,Lucas,1021,60,M,3,122.27,366.81,Dinheiro
62,2025-01-16,5,Eletrônicos,Notebook,Fernanda,1013,55,F,3,3545.48,10636.44,Cartão
63,2025-03-30,4,Eletrônicos,Teclado,João,1087,50,F,6,184.81,1108.86,Cartão
64,2025-01-17,5,Alimentos,Macarrão,Mariana,1049,25,M,5,8.05,40.25,Pix
65,2025-04-27,1,Vestuário,Jaqueta,Pedro,1013,54,M,3,360.8,1082.4,Dinheiro
66,2025-06-26,2,Alimentos,Arroz,João,1047,32,M,5,32.09,160.45,Boleto
67,2025-01-10,4,Eletrônicos,Notebook,Pedro,1055,47,F,8,3662.63,29301.04,Boleto
68,2025-04-05,4,Vestuário,Jaqueta,Ana,1014,52,M,8,334.81,2678.48,Pix
69,2025-01-13,5,Alimentos,Arroz,Lucas,1064,58,M,6,33.12,198.72,Dinheiro
70,2025-03-22,2,Vestuário,Jaqueta,Mariana,1002,54,F,2,335.29,670.58,Dinheiro
71,2025-02-20,5,Eletrônicos,Teclado,Maria,1082,36,M,1,182.3,182.3,Pix
72,2025-06-13,1,Alimentos,Café,Fernanda,1078,18,F,4,17.1,68.4,Cartão
73,2025-01-10,3,Alimentos,Macarrão,Lucas,1041,69,M,4,8.37,33.48,Cartão
74,2025-05-27,3,Vestuário,Jaqueta,Mariana,1052,59,F,5,361.1,1805.5,Cartão
75,2025-04-19,4,Alimentos,Arroz,Maria,1002,29,M,4,32.71,130.84,Cartão
76,2025-06-09,4,Eletrônicos,Notebook,Mariana,1096,56,F,4,3361.36,13445.44,Boleto
77,2025-06-10,1,Eletrônicos,Teclado,Ana,1039,44,M,7,180.47,1263.29,Pix
78,2025-03-26,2,Vestuário,Tênis,Ana,1042,58,F,4,409.08,1636.32,Cartão
79,2025-05-05,4,Vestuário,Tênis,Lucas,1022,30,F,8,404.19,3233.52,Pix
80,2025-06-15,2,Vestuário,Calça,João,1070,52,F,7,179.74,1258.18,Pix
81,2025-04-24,3,Alimentos,Feijão,Mariana,1076,46,F,2,11.55,23.1,Cartão
82,2025-06-03,5,Vestuário,Jaqueta,Maria,1031,63,M,5,337.67,1688.35,Boleto
83,2025-04-29,2,Alimentos,Feijão,Carlos,1015,35,F,2,11.56,23.12,Pix
84,2025-06-04,5,Eletrônicos,TV,Ana,1072,65,F,2,2909.41,5818.82,Dinheiro
85,2025-04-11,4,Eletrônicos,TV,Mariana,1014,18,M,5,2726.59,13632.95,Pix
86,2025-02-19,3,Vestuário,Calça,Maria,1007,65,F,4,171.35,685.4,Cartão
87,2025-03-21,2,Alimentos,Café,Maria,1027,22,M,8,18.15,145.2,Cartão
88,2025-02-12,1,Vestuário,Calça,Maria,1013,31,F,4,187.1,748.4,Boleto
89,2025-02-27,1,Eletrônicos,Mouse,Mariana,1006,20,F,4,121.14,484.56,Boleto
90,2025-02-11,5,Alimentos,Feijão,Ana,1026,67,F,8,11.46,91.68,Cartão
91,2025-04-13,3,Eletrônicos,Notebook,Ana,1067,57,M,6,3595.57,21573.42,Boleto
92,2025-06-25,4,Alimentos,Café,Fernanda,1029,21,F,2,18.41,36.82,Cartão
93,2025-01-10,1,Eletrônicos,TV,Maria,1056,69,F,4,2912.68,11650.72,Cartão
94,2025-02-21,1,Eletrônicos,Notebook,Carlos,1099,59,M,5,3421.26,17106.3,Pix
95,2025-04-14,4,Alimentos,Café,João,1067,37,F,1,18.29,18.29,Dinheiro
96,2025-02-04,4,Alimentos,Arroz,Fernanda,1038,63,F,7,32.87,230.09,Dinheiro
97,2025-05-12,4,Eletrônicos,Mouse,João,1024,46,F,5,118.57,592.85,Boleto
98,2025-02-06,4,Vestuário,Calça,Carlos,1017,34,F,8,181.15,1449.2,Pix
99,2025-06-29,3,Eletrônicos,TV,Maria,1056,43,M,1,2827.7,2827.7,Boleto
100,2025-06-14,1,Eletrônicos,Notebook,Maria,1041,55,F,4,3414.9,13659.6,Dinheiro
